NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
saint luke,DMA,dominica,1825,162,193,182,175,117,131,145,135,114,91,72,61,58,59,47,34,23,21
saint mark,DMA,dominica,6248,577,568,598,673,614,546,477,385,281,339,238,227,141,142,130,116,23,21
saint mark,GRD,grenada,6248,577,568,598,673,614,546,477,385,281,339,238,227,141,142,130,116,23,21
saint martin,GGY,guernsey,10003,498,505,551,566,604,569,616,617,756,827,811,672,623,557,442,345,0,0
saint martin,JEY,jersey,10003,498,505,551,566,604,569,616,617,756,827,811,672,623,557,442,345,0,0
saint mary,ATG,antigua and barbuda,127599,10305,10784,12400,13014,11105,9408,7661,8028,7477,6970,6782,4973,4320,3406,2768,2351,1679,1593
saint mary,JAM,jamaica,127599,10305,10784,12400,13014,11105,9408,7661,8028,7477,6970,6782,4973,4320,3406,2768,2351,1679,1593
saint mary,JEY,jersey,127599,10305,10784,12400,13014,11105,9408,7661,8028,7477,6970,6782,4973,4320,3406,2768,2351,1679,1593
saint michael,BRB,barbados,85571,5500,5973,5776,5910,5693,6195,5770,6103,5892,6449,5953,4789,3995,2971,2635,2239,1648,1540
saint michiel,CUW,curacao,6121,362,398,436,464,329,314,325,405,453,521,486,423,371,289,217,156,99,82
saint ouen,JEY,jersey,4209,211,244,268,266,218,209,253,316,380,388,312,257,281,223,147,104,0,0
saint patrick,DMA,dominica,41604,3527,3492,3414,3740,3530,3575,3233,2679,2310,2625,2215,1897,1401,1140,963,722,91,83
saint patrick,GRD,grenada,41604,3527,3492,3414,3740,3530,3575,3233,2679,2310,2625,2215,1897,1401,1140,963,722,91,83
saint patrick,TTO,trinidad and tobago,41604,3527,3492,3414,3740,3530,3575,3233,2679,2310,2625,2215,1897,1401,1140,963,722,91,83
saint patrick,VCT,saint vincent and the grenadines,41604,3527,3492,3414,3740,3530,3575,3233,2679,2310,2625,2215,1897,1401,1140,963,722,91,83
saint paul,ATG,antigua and barbuda,19804,1670,1831,1860,1810,1347,1417,1550,1434,1306,1129,945,789,672,571,463,307,237,213
saint paul,DMA,dominica,19804,1670,1831,1860,1810,1347,1417,1550,1434,1306,1129,945,789,672,571,463,307,237,213
saint peter,ATG,antigua and barbuda,23249,1438,1572,1623,1582,1487,1457,1587,1680,1811,1838,1543,1307,1134,824,703,551,279,267
saint peter,BRB,barbados,23249,1438,1572,1623,1582,1487,1457,1587,1680,1811,1838,1543,1307,1134,824,703,551,279,267
saint peter,DMA,dominica,23249,1438,1572,1623,1582,1487,1457,1587,1680,1811,1838,1543,1307,1134,824,703,551,279,267
saint peter,JEY,jersey,23249,1438,1572,1623,1582,1487,1457,1587,1680,1811,1838,1543,1307,1134,824,703,551,279,267
saint peter port,GGY,guernsey,17866,929,895,894,986,1171,1127,1129,1073,1325,1417,1384,1203,1093,1039,690,631,0,0
saint philip,ATG,antigua and barbuda,41265,2689,2891,2954,2915,2569,2606,2823,3294,3146,3184,2966,2400,1904,1428,1195,855,588,501
saint philip,BRB,barbados,41265,2689,2891,2954,2915,2569,2606,2823,3294,3146,3184,2966,2400,1904,1428,1195,855,588,501
saint pierre du bois,GGY,guernsey,2069,107,103,103,114,135,130,130,124,153,164,160,139,126,120,79,73,0,0
saint sampson,GGY,guernsey,8724,453,437,436,481,572,550,551,523,647,692,676,587,533,507,336,308,0,0
saint saviour,GGY,guernsey,16766,928,957,1014,1091,1105,972,1163,1250,1383,1420,1214,1027,925,675,558,443,0,0
saint saviour,JEY,jersey,16766,928,957,1014,1091,1105,972,1163,1250,1383,1420,1214,1027,925,675,558,443,0,0
saint thomas,BRB,barbados,166800,12257,12770,14521,14831,12865,11860,10450,10794,10710,10008,10380,8369,7738,5769,4107,3295,2175,1910
saint thomas,JAM,jamaica,166800,12257,12770,14521,14831,12865,11860,10450,10794,10710,10008,10380,8369,7738,5769,4107,3295,2175,1910
saint thomas,VIR,united states virgin islands,166800,12257,12770,14521,14831,12865,11860,10450,10794,10710,10008,10380,8369,7738,5769,4107,3295,2175,1910
saint willibrordus,CUW,curacao,703,41,45,50,53,37,36,37,46,52,59,55,48,42,33,24,17,11,9
saint-benoit,REU,reunion,131096,12072,12533,12136,11885,9203,8234,8514,9437,10605,9037,7413,5728,4210,3385,2589,1799,1147,843
saint-denis,REU,reunion,208591,16704,16861,16833,18430,15873,14264,14007,15036,16602,15065,12812,10847,7711,5976,4404,3146,1963,1547
