ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
MRT,mauritania,gorgol,411639,0.13469364448865984,83,21.928958668385935,15.364706319909216,16.228149938392754,13.469364448865983
MRT,mauritania,guidimagha,349010,0.13470253988381553,83,21.925755885171696,15.366151600648598,16.22922167274886,13.470253988381554
MRT,mauritania,hodh ech chargui,622345,0.13468644076940656,83,21.931552364416394,15.363535894480496,16.22728202041043,13.468644076940656
MRT,mauritania,hodh el gharbi,367229,0.13468439470817412,83,21.932289047886435,15.363203460357097,16.22703550700893,13.468439470817412
MRT,mauritania,inchiri,26938,0.13486308240233463,83,21.86795262016909,15.392235771818882,16.248564144859596,13.486308240233463
MRT,mauritania,nouakchott,1372271,0.13474085077445724,83,21.91196206541181,15.372376168684548,16.233837442705692,13.474085077445725
MRT,mauritania,tagant,85896,0.13467853304327454,83,21.93439953782187,15.362251085422443,16.226329282322233,13.467853304327454
MRT,mauritania,tiris zemmour,62717,0.13479291175111754,83,21.89321753307266,15.380834784128144,16.240109849532235,13.479291175111754
MRT,mauritania,trarza,283353,0.13468778960464592,83,21.93106671686642,15.363755046700033,16.22744453068023,13.468778960464592
MSR,montserrat,central,1777,0.14567620842895201,60,34.113355797616855,37.94719983764524,24.27936807149201,14.567620842895202
MSR,montserrat,northern,2526,0.14603254226805212,60,34.12773004898405,37.99602838490019,24.338757044675358,14.603254226805213
MSR,montserrat,south of nantes river,945,0.14580980303750116,60,34.11874490825937,37.965506352325455,24.301633839583523,14.580980303750115
MTQ,martinique,fort-de-france,155429,0.3768037930741867,77.5,38.346282653488664,43.72097487841086,49.844172073788286,37.68037930741867
MTQ,martinique,le marin,133937,0.3781974776127634,77.5,37.890625214976225,44.00965790882271,50.58781532436415,37.81974776127634
MTQ,martinique,le trinite,81591,0.3892488449952781,77.5,38.71882209798705,45.07388914225716,51.44436782004209,38.92488449952781
MTQ,martinique,saint-pierre,23821,0.4108239066257161,77.5,40.00747172418132,47.727408472398245,53.834543373425866,41.08239066257161
MUS,mauritius,island of mauritius,1246410,0.2626947226482354,80,31.19541049795385,31.25668301021535,32.83684033102942,26.26947226482354
MUS,mauritius,island of rodrigues,44693,0.18672314313642327,80,26.591253310170508,22.00272932301157,23.340392892052915,18.672314313642328
MWI,malawi,balaka,451817,0.14003067339538264,91,21.76229490435673,14.736663526948279,15.38798608740468,14.003067339538264
MWI,malawi,blantyre,1403158,0.10378404992839875,91,21.188769908254102,10.737561912318295,11.40484065147239,10.378404992839876
