PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
3208,42,130715,38.2909383008836,0.3182343265883793,9.185632865394178,0.9324389107248762,75.93454280055711
3208,47,109119,40.37335386138069,0.33234358819270704,3.612569763285954,0.9546701065303399,74.39191395352415
3209,17,122445,43.082200171505576,0.3547960308710033,24.61758340479399,0.9354212155582027,73.47475839906306
3209,26,131204,43.794396512301454,0.35327429041797503,1.9496356818389682,0.8260517157886339,75.70781324159726
3209,36,99365,50.35877824183566,0.4217782921551854,8.193025713279324,0.9552946212453738,67.7598390583334
3209,42,145595,34.735396133108964,0.30850647343658777,14.62275490229747,0.9287086157530221,77.06218533152864
3210,26,112881,36.15754644271401,0.28616862005120436,7.7187480621185145,0.8175994422751934,80.50571313448293
3210,36,101231,51.38050597149094,0.4461182839248847,14.964783514931195,0.944617346255735,66.50726640813406
3210,42,152344,31.350102399831957,0.2385390957307147,13.44260358136848,0.9288398998060619,82.17890350695754
3211,26,125895,44.67850192620835,0.37415306406132093,5.299654473966401,0.8358575340860535,74.25435696418616
3211,36,112261,47.067102555651566,0.4029360151789134,29.17219693393075,0.9265756492841523,70.68405072517082
3211,42,123629,39.76655962597772,0.341157818958335,18.5061757354666,0.9262227570822631,74.5174008001201
3212,26,115984,35.82390674575803,0.2979290246930611,17.134259897916955,0.8200109673060275,79.71622652658041
3212,36,103290,48.255397424726496,0.4178623293639268,17.821667150740634,0.9414899923935617,68.66451058501379
3213,26,112113,40.31022272171826,0.3406473825515328,14.570121216986434,0.8123558127073084,77.22436849075042
3300,6,150589,50.55946981519235,0.4518656741196236,12.773841382836729,0.9162944118996761,66.70116748584734
3300,13,243849,43.17672001935624,0.3471697648954886,19.17621150794139,0.9483609140091953,73.73955961794552
3300,18,181691,46.145378692395326,0.3766834901013259,4.110275137458652,0.9248347214332153,71.84387835691173
3300,26,150372,50.528023834224456,0.41227090149761925,2.902801053387599,0.8472614538427048,71.5205158081209
3300,37,115104,45.79510703363914,0.377215387823186,6.826000834028358,0.97298911662095,70.83502881893018
3300,39,125244,53.258439526045166,0.4278368624445083,1.0786943885535436,0.9004066129495323,68.84552554282499
3301,12,130836,43.41389220092329,0.35773793145617416,6.729034822220184,0.9481209571936896,72.83559975001911
3301,25,116297,17.6204029338676,0.15872292492497656,29.520967866754948,0.9369609292288754,88.39050024455244
3301,36,105222,49.40316663815552,0.43346448461348386,17.157058409838246,0.9396523337186331,67.22890952687392
3301,42,135575,44.703669555596534,0.3708427069887516,9.782777060667527,0.9302742369903568,72.302318645001165
3301,48,174655,28.787037302109873,0.22416764478543413,23.397555180212418,0.9120868823556538,84.54253466087052
3302,12,186958,43.75528193498005,0.37628772237614866,7.043293146054194,0.9463559437220396,71.4448545643367
3302,25,172902,36.734682074238584,0.3175266914205735,30.262229471029833,0.9300487609471016,76.48236876363663
3302,36,95796,58.036870015449495,0.5164307486742662,11.623658607875068,0.9530948098728456,60.43356373992028
3302,42,162417,41.82567095808936,0.3687237173448592,19.914171546082,0.920980666470333,72.64845848894905
3302,48,163056,38.22245118241586,0.30979540771268765,23.308556569522125,0.9132036733167165,77.93223972117875
3303,25,118022,35.12226534036027,0.30359593974004845,21.044381555981087,0.9454581110593009,77.33222264243138
3303,36,115858,53.947073141259125,0.45329627647637627,6.886878765385212,0.9575242362192734,65.13083288493182
3303,42,144259,42.06323348976493,0.35497265335265044,6.07171822901864,0.9348416799483995,73.23976247271358
3303,48,136648,40.610912710028686,0.33715092793161994,27.633774369182134,0.905390893368883,76.65705285845954
3304,25,139066,38.27750852113385,0.3476478794241583,31.959645060618698,0.925720899323982,74.88038801246428
3304,36,109427,46.39896917579757,0.38835936286291317,9.945443080775311,0.9526114992646879,70.35285319849274
3304,42,125390,51.988196825903174,0.4570619666640083,7.881011244915863,0.9339773111103178,65.62355674962461
3304,48,101017,45.40324895809616,0.3973984576853401,25.744181672391775,0.9086083749909928,71.99333623581327
3305,25,146600,42.091405184174626,0.360525238744884,30.264665757162344,0.9247480196365263,73.69978157230503
3305,36,139744,56.31297229219143,0.5035922830318297,18.863063888252803,0.9350587559636304,62.19038670139072
3305,48,135799,34.690240723422114,0.2725498715012629,21.13270348087983,0.916450986540402,80.58114231986299
3306,17,156664,44.72246336107848,0.3766213041924118,14.807486084869529,0.9362407503994652,71.91335743270133
3306,25,110196,42.24926494609605,0.3898961849794911,36.92693019710334,0.9238249887652586,71.11713489298637
3306,36,144914,43.12143754226645,0.367652538747119,14.34160950632789,0.9458377555630293,72.01597018710902
3306,48,128179,39.30284992081386,0.32712846878193774,22.44127353154573,0.913225786790459,76.78641566851768
3307,17,139817,38.18133703340795,0.3234299119563429,22.491542516289147,0.9244157313641723,76.51324243245662
3307,36,110112,50.77012496367335,0.4240228131357164,12.714327230456263,0.9514230709135041,67.7441725695524
3308,17,114345,51.71192443919716,0.45755389391753026,20.216012943285673,0.9323628131679641,66.0430470641504
3308,36,116128,43.55624827776247,0.3526711904105814,14.092208597409755,0.9488595737261271,73.31437612379541
3309,17,151040,38.44743114406779,0.338916843220339,20.29396186440678,0.9332981749632165,74.81430653899861
3309,36,107272,46.61980759191588,0.38008986501603403,8.37310761428891,0.9545190178845921,71.0283309873089
3310,17,134474,50.56219046060949,0.4473355444175082,24.784716748218987,0.9294361036431508,66.90716510610524
3310,36,127223,40.527263152103,0.37147371151442743,41.82734254026394,0.9082008988177371,73.24636685213683
3311,36,95322,49.75136904387235,0.4364784624745599,10.145611716078134,0.9522612777887034,66.65477623548699
3312,36,98989,48.323551101637555,0.4272292881027185,16.085625675580115,0.9419715458529909,67.9311693425575
3313,36,110831,46.289395566222446,0.40237839593615504,23.402297191219063,0.9357644254200578,69.78330764025026
3400,13,204566,43.90514552760478,0.36127704506125163,17.187118093915903,0.9452534558587258,72.63440733746333
3400,18,138803,48.634395510183495,0.4122173151877121,2.1815090451935477,0.9218933971838769,69.33209511864136
