ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
MCO,monaco,47.11835067770075,80,46.172202898339016,57.35674921754651,58.89793834712592,47.11835067770073,47.11835067770075,8.204640795236539e-15
MDA,republic of moldova,27.42145792111108,80,33.0580415763612,34.27682240138885,34.27682240138885,24.34349679068847,33.92308467926328,2.317384181889299
MDG,madagascar,13.04196441394756,80,21.869553958121177,14.540801907821097,16.30245551743445,13.04196441394756,13.041964413947564,1.9459014222361975e-15
MDV,maldives,NA,NA,23.423835867277326,13.977030483061903,NA,NA,NA,NA
MEX,mexico,17.938101296624776,80,28.99250448700667,24.956187398442303,22.422626620780974,12.979007329597522,22.792566137721284,1.7244315676332134
MHL,marshall islands,12.875704767192104,80,22.08906695264532,15.337904429591365,16.094630958990134,12.875704767192104,12.875704767192108,1.0476381089212135e-15
MKD,the former yugoslav republic of macedonia,30.696484366708933,80,36.76397432374975,39.80989772001423,38.370605458386166,25.2600056536376,35.10795057118978,3.2324626228302105
MLI,mali,13.516831138632087,94,20.69839828490178,13.741026579673074,14.513446497748307,11.977974500883674,15.628294659434076,1.238780555325365
MLT,malta,38.344014480211904,81.5,40.5070197358131,46.72463932112644,47.93905328977149,34.486427839834896,41.216560039268536,2.677852647203494
MMR,myanmar,24.721903876204824,89,29.506227863322028,26.471018278778317,27.777420085623387,19.10711482170207,27.59909641299395,2.643484422608349
MNE,montenegro,31.995944244652716,80,37.1441563093685,41.30255017539571,39.9949303058159,24.149444713092247,42.523721503388785,4.282685683413863
MNG,mongolia,20.75426934139306,90.5,27.650713640205147,21.663376245867745,23.00554180907559,17.314874694950255,24.434730990294916,1.679154094651419
MNP,northern mariana islands,17.32735616119817,95,31.08493235593219,31.825264287021685,18.239322274945447,13.844068877551017,19.511278195488728,2.8705817776682863
MOZ,mozambique,11.554834334550991,75.5,20.957448117910072,13.573677898710914,14.314891769018804,10.227859681192646,15.232815163664537,1.7627986058639808
MRT,mauritania,13.47098373923899,83,21.923128420336365,15.367337264512143,16.230100890649386,13.467369115488273,13.486308240233464,0.006126174450152742
MSR,montserrat,14.58717774424135,60,34.12124491128124,37.973998726124435,24.311962907068917,14.567620842895202,14.603254226805213,0.018001578132099634
MTQ,martinique,38.19015018681117,77.5,38.368922365749725,44.340280466331485,50.667970643905264,37.68037930741867,41.08239066257161,1.5722302830396797
