ISOALPHA,COUNTRYNM,mean_susceptibility,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_susc,max_admin1_susc,std_admin1_susc
MYS,malaysia,82.40589926767882,89,27.877777072885284,23.224156841450867,24.49647150957377,77.86901179681813,90.18261313001146,3.3054136286865856
MYT,mayotte,NA,NA,22.343022236785952,14.928290556605498,NA,NA,NA,NA
"NAM",namibia,86.3789146155199,88,25.14420819101044,18.00974738264725,18.953089756762843,82.95878752998581,88.3253641555527,1.5161472773677023
NCL,new caledonia,NA,NA,22.584333449857926,16.111613330594782,NA,NA,NA,NA
NER,niger,90.85861509640615,77,19.674949793980367,12.556658049822184,13.246335013582664,90.03956848699637,91.80327384082409,0.5725745982656139
NFK,norfolk island,NA,NA,46.94589473684211,63.13263157894738,NA,NA,NA,NA
NGA,nigeria,89.67757473952624,77,22.45608684267891,14.522038456401155,15.441925421803443,86.62165335225444,91.77153416635919,1.6139308670893637
NIC,nicaragua,89.65652024079117,80,24.16079300575618,16.968746025149716,16.02149900744862,87.2621002060322,92.55235724879337,1.6506667610765395
NIU,niue,NA,NA,30.177458033573142,31.974420463629098,NA,NA,NA,NA
NLD,netherlands,74.50477399425401,81.5,39.890325304374336,46.79451773725419,39.00443717300096,70.56380685214651,79.44648652404325,2.4799114242485185
NOR,norway,71.12359003511082,95,38.69809034117282,43.44918630983119,37.665701382494206,66.08557761861502,75.84297536130352,2.4655530863546327
NPL,nepal,83.8326001162657,95,25.370887822181636,20.056867852140645,21.088371334682467,83.00274930571807,85.51315453041852,1.201107030564313
NRU,nauru,NA,NA,22.995573044761436,15.683226758484997,NA,NA,NA,NA
NZL,new zealand,89.95792193619178,30,37.68045783692691,42.924093028605,41.47905024290882,NA,NA,NA
OMN,oman,88.38164441439241,80,27.25988554095033,16.653517478798925,17.996213732353752,86.60571622160586,89.41513459869114,0.939584697807212
PAK,pakistan,87.03978153395812,80,25.245237755275756,19.023018730748863,20.07468783463735,86.5918810198141,87.73948091840144,0.40201384687004954
PAN,panama,82.11579118390017,80,29.483894559648117,26.430685002117215,27.701686518122415,73.18524178335748,90.56363520402269,5.077805697875925
PER,peru,86.5216756716428,92.5,28.062463872346147,23.174642360986404,17.833630233900593,84.2327511478236,91.06492922704741,1.8188132881348735
PHL,philippines,85.67106242205247,89,26.223630194494167,21.141958183155822,19.95034679412938,79.96801523072739,91.35225431160791,2.006030237310355
PLW,palau,NA,NA,32.350786574649575,30.467658279394744,NA,NA,NA,NA
PNG,papua new guinea,86.45101285614567,89,25.425981890890615,19.91917232994545,18.864412714387218,85.55894490923225,88.5798431174186,0.8311573051721007
POL,poland,74.84916509377125,80,34.91021745899572,37.57799943384871,38.95730313852039,73.87216052406347,75.41473026280154,0.6092127169164631
PRI,puerto rico,80.23692451537596,95,33.5279288172476,34.40223730132337,25.778484947008476,69.57352484989994,88.83155126274445,2.8059270235738007
PRK,democratic people's republic of korea,77.87215760414564,80,32.844732803823035,32.541853665104014,34.274848816379134,76.74945470863379,78.62691819398164,0.591853655149592
PRT,portugal,69.29565784344821,81.5,41.94290692278603,48.531725055670506,47.068199094840395,69.05920256736856,75.14919758769624,3.0703088839977486
PRY,paraguay,84.928431807433725,85,26.10929040641739,20.876102700989172,21.971817468571007,79.35162683229814,87.16492998472944,2.1831729513361533
PSE,occupied palestinian territory,NA,NA,21.830287129486415,14.187537160763663,NA,NA,NA,NA
PYF,french polynesia,NA,NA,30.11543581180762,26.958906681687722,NA,NA,NA,NA
QAT,qatar,86.4733853877587,80,30.63329959204747,18.84871449097647,20.952005285379947,85.83041805254523,87.00866430437739,0.40815962989510346
REU,reunion,NA,NA,32.80903917253952,33.62827584481526,NA,NA,NA,NA
ROU,romania,69.79581290428804,80,40.39239878929546,45.00505849185038,46.78467641838904,68.9017127464333,70.51252186298773,0.6782310471621931
RUS,russian federation,72.07930388184413,80,38.57459790435794,43.24767056715596,43.24767056715596,68.26067236330375,85.34476634441586,3.586985202912167
RWA,rwanda,87.65863129464064,95,22.77089882343493,15.094179463520492,15.887630478591007,85.6394439344336,91.0641296272242,1.9890429558083662
SAU,saudi arabia,87.68856790944703,80,26.93082841323659,17.705866580822008,19.069752308787137,86.06056788956526,89.48660816399581,1.0693532208721168
SDN,sudan,85.48887480103082,88,22.750673318620592,15.351242233651755,20.433599750716997,83.70895340594315,86.02594898847694,0.5930194556709546
SEN,senegal,90.37116516548339,83,21.48436518120548,13.586452162233469,14.37547190175809,90.33858764296934,90.40819031869631,0.01661772383535806
SGP,singapore,83.33877143196187,89,26.70337916124497,22.027155935135323,23.19762272257927,73.11420904443428,84.35764247662473,4.532693481956627
SHN,saint helena,NA,NA,39.829344665622905,48.11004249608589,NA,NA,NA,NA
SLB,solomon islands,NA,NA,25.916752985702715,20.81367998874486,NA,NA,NA,NA
SLE,sierra leone,85.45450965832019,84.33333333333334,24.91625459443716,19.566635276077363,20.555914741876247,84.31116123950892,86.79809329992571,1.1169102222521494
SLV,el salvador,84.01946080209845,80,28.049029283087545,23.63769023329214,24.753003714221727,83.35554860812265,86.05638448991314,0.9200685687023953
SMR,san marino,NA,NA,42.345404803857924,50.91965748554824,NA,NA,NA,NA
SOM,somalia,87.40923856151234,80,25.00437701500377,19.50241858501808,19.50241858501808,83.7002158822613,91.17966561774148,3.2299764491203904
SPM,saint pierre and miquelon,NA,NA,33.826150178647666,35.69858829664395,NA,NA,NA,NA
SRB,serbia,68.80197779967688,80,41.81401467138515,49.6318354831501,48.32407404015352,67.43810895403736,69.89480084567212,1.0522976579933943
SSD,south sudan,89.30431965432925,88,19.9478568730076,10.255747818461177,15.06094449936743,87.55220215895244,90.13326716633335,0.7435333510653125
STP,sao tome and principe,NA,NA,23.04181437165585,15.69468071962821,NA,NA,NA,NA
